imagen,categoria,descripcion
./imagenes\image_0008.jpg,COSAS,Un teléfono móvil antiguo con una interfaz de usuario simple.
./imagenes\image_0010.jpg,INSTRUMENTOS,"Acordeón rojo pequeño, instrumento musical de fuelle.
"
./imagenes\image_0017.jpg,COSAS,Un teléfono móvil antiguo representado como si fuera una persona.
./imagenes\image_0018.jpg,SIN CLASIFICAR,Error en Gemini
./imagenes\image_0021.jpg,INSTRUMENTOS,"Auriculares grandes de color azul sobre fondo azul.
"
./imagenes\image_0022.jpg,SIN CLASIFICAR,Error en Gemini
./imagenes\image_0025.jpg,PLANTAS,"Representación tridimensional de un árbol.
"
./imagenes\image_0026.jpg,PLANTAS,Bonsái de pino en una maceta de madera.
./imagenes\image_0027.jpg,COSAS,"Teléfono móvil antiguo con base de carga.
"
./imagenes\image_0028.jpg,PLANTAS,Bonsái de enebro en una mesa de jardín.
./imagenes\image_0029.jpg,PLANTAS,"Un bonsai, pequeño árbol cultivado en una maceta.
"
./imagenes\image_0031.jpg,ANIMALES,Un castor y un pájaro pequeños en un tronco.
./imagenes\image_0037.jpg,COSAS,"Silla plegable blanca de plástico en un jardín.
"
./imagenes\image_0038.jpg,ANIMALES,Dibujo a lápiz de un castor.
./imagenes\image_0039.jpg,SIN CLASIFICAR,Error en Gemini
./imagenes\image_0043.jpg,SIN CLASIFICAR,Error en Gemini
./imagenes\image_0044.jpg,COSAS,"Silla de bambú simple, hecha a mano, apoyada contra una pared de ladrillos."
./imagenes\image_0050.jpg,ANIMALES,"Elefante asiático caminando cerca de una pared de piedra.
"
./imagenes\image_0052.jpg,INSTRUMENTOS,"Guitarra acústica de madera sobre una tela azul.
"
./imagenes\image_0054.jpg,COSAS,Silla mecedora de madera con tapicería floral.
./imagenes\image_0060.jpg,INSTRUMENTOS,Tres guitarras eléctricas apiladas.
./imagenes\image_0064.jpg,SIN CLASIFICAR,Error en Gemini
./imagenes\image_0070.jpg,INSTRUMENTOS,Guitarra eléctrica doble cuello de color rojo oscuro.
./imagenes\image_0073.jpg,SIN CLASIFICAR,Error en Gemini
./imagenes\image_0077.jpg,VEHICULOS,"Helicóptero blanco y gris volando en un día nublado.
"
./imagenes\image_0083.jpg,VEHICULOS,"Helicóptero rojo volando cerca del suelo.
"
./imagenes\image_0086.jpg,COSAS,"Candelabro de hierro forjado con velas en una habitación.
"
./imagenes\image_0094.jpg,COSAS,Candelabro de metal con diseño floral y cuatro luces.
./imagenes\image_0106.jpg,COSAS,"Araña de cristal verde claro y blanco con diseño floral.
"
./imagenes\image_0780.jpg,VEHICULOS,"Motocicleta clásica Triumph, vista lateral, color marrón y crema.
"
./imagenes\image_0783.jpg,VEHICULOS,"Motocicleta roja y blanca, vista lateral.
"
./imagenes\image_0788.jpg,VEHICULOS,Avión Boeing 737 en vuelo.
./imagenes\image_0791.jpg,VEHICULOS,"Motocicleta touring roja y crema, vista lateral.
"
./imagenes\image_0795.jpg,VEHICULOS,Avión blanco Air France en vuelo.
./imagenes\image_0797.jpg,VEHICULOS,Avión McDonnell Douglas MD-11 de American Airlines en vuelo.
